Geography,Timeframe,"Current Year Week Ending",Type,"ASP Current Year","Total Bulk and Bags Units","4046 Units","4225 Units","4770 Units","TotalBagged Units","SmlBagged Units","LrgBagged Units","X-LrgBagged Units"
Baltimore/Washington,Weekly,"2017-06-04 00:00:00",Conventional,1.800000000,757909.72,62567.13,482039.31,7375.87,205927.41,201471.90,2167.18,2288.33
Boise,Weekly,"2017-06-04 00:00:00",Conventional,1.190000000,98460.27,42302.58,3757.52,7950.05,44450.12,44427.36,11.47,11.29
Boston,Weekly,"2017-06-04 00:00:00",Conventional,1.730000000,590580.03,5139.73,460653.96,3075.67,121710.67,115907.40,5366.60,436.67
Buffalo/Rochester,Weekly,"2017-06-04 00:00:00",Conventional,1.600000000,145203.51,1453.91,80512.88,57.58,63179.14,59568.90,1656.91,1953.33
California,Weekly,"2017-06-04 00:00:00",Conventional,1.200000000,6507093.57,2378539.46,1580024.38,141320.44,2407209.29,2348867.54,4428.25,53913.50
Charlotte,Weekly,"2017-06-04 00:00:00",Conventional,1.490000000,226422.86,59349.56,86778.91,7005.98,73288.41,65629.28,6092.46,1566.67
Chicago,Weekly,"2017-06-04 00:00:00",Conventional,1.640000000,776194.77,79878.40,493631.53,132270.53,70414.31,61829.43,2440.78,6144.10
Cincinnati/Dayton,Weekly,"2017-06-04 00:00:00",Conventional,1.000000000,337444.34,11153.71,83649.82,1325.95,241314.86,32810.06,208325.92,178.88
Columbus,Weekly,"2017-06-04 00:00:00",Conventional,1.100000000,196391.15,82888.11,20624.08,1780.61,91098.35,85697.33,5341.79,59.23
"Dallas/Ft. Worth",Weekly,"2017-06-04 00:00:00",Conventional,0.930000000,1325912.38,712765.48,227992.90,2256.17,382897.83,379395.10,3347.36,155.37
Denver,Weekly,"2017-06-04 00:00:00",Conventional,1.160000000,895594.90,198732.29,179793.41,30183.22,486885.98,200815.16,286070.82,0.00
Detroit,Weekly,"2017-06-04 00:00:00",Conventional,1.260000000,361513.16,77883.80,57322.69,35156.70,191149.97,174009.46,12147.98,4992.53
"Grand Rapids",Weekly,"2017-06-04 00:00:00",Conventional,1.880000000,162051.09,2254.78,74167.19,35468.43,50160.69,34931.43,7483.36,7745.90
"Great Lakes",Weekly,"2017-06-04 00:00:00",Conventional,1.330000000,3649478.04,559144.79,1336833.13,287895.63,1465604.49,858903.25,564981.58,41719.66
Harrisburg/Scranton,Weekly,"2017-06-04 00:00:00",Conventional,1.550000000,247060.03,50484.86,118452.04,139.39,77983.74,75848.61,1879.02,256.11
Hartford/Springfield,Weekly,"2017-06-04 00:00:00",Conventional,1.810000000,288516.73,10922.08,216912.96,148.68,60533.01,59149.95,0.00,1383.06
Houston,Weekly,"2017-06-04 00:00:00",Conventional,0.830000000,1377530.34,603106.83,192105.68,4926.04,577391.79,357447.61,219944.18,0.00
Indianapolis,Weekly,"2017-06-04 00:00:00",Conventional,1.070000000,218092.41,11334.96,79916.60,1766.11,125074.74,40296.68,84463.79,314.27
Jacksonville,Weekly,"2017-06-04 00:00:00",Conventional,1.460000000,178356.70,119654.85,16223.79,84.55,42393.51,24682.06,16731.45,980.00
"Las Vegas",Weekly,"2017-06-04 00:00:00",Conventional,1.050000000,376990.33,137454.97,53764.53,8227.13,177543.70,63050.35,114357.24,136.11
"Los Angeles",Weekly,"2017-06-04 00:00:00",Conventional,0.960000000,3637220.72,1330141.06,418291.29,89031.20,1799757.17,1761072.22,559.34,38125.61
Louisville,Weekly,"2017-06-04 00:00:00",Conventional,1.060000000,121602.81,2191.20,48994.64,305.84,70111.13,16752.03,53317.46,41.64
"Miami/Ft. Lauderdale",Weekly,"2017-06-04 00:00:00",Conventional,1.490000000,687913.86,449727.40,85907.47,238.92,152040.07,84992.72,64412.35,2635.00
Midsouth,Weekly,"2017-06-04 00:00:00",Conventional,1.430000000,3212276.31,699461.68,1357927.08,31609.48,1123278.07,916401.72,187872.39,19003.96
Nashville,Weekly,"2017-06-04 00:00:00",Conventional,1.070000000,269102.17,133059.17,12467.64,119.54,123455.82,106243.76,14782.06,2430.00
"New Orleans/Mobile",Weekly,"2017-06-04 00:00:00",Conventional,1.380000000,256543.43,158511.61,25352.42,298.00,72381.40,53362.71,5313.69,13705.00
"New York",Weekly,"2017-06-04 00:00:00",Conventional,1.830000000,1335461.36,51740.89,834879.59,3267.53,445573.35,345141.25,90033.49,10398.61
Northeast,Weekly,"2017-06-04 00:00:00",Conventional,1.740000000,4096560.83,241585.33,2718513.23,12943.73,1123518.54,923263.95,179473.20,20781.39
"Northern New England",Weekly,"2017-06-04 00:00:00",Conventional,1.660000000,401637.70,8209.20,322243.99,2107.52,69076.99,31580.39,36384.93,1111.67
Orlando,Weekly,"2017-06-04 00:00:00",Conventional,1.410000000,400425.73,250523.79,40813.04,48.00,109040.90,59333.06,48034.23,1673.61
Philadelphia,Weekly,"2017-06-04 00:00:00",Conventional,1.800000000,394307.04,38390.30,221022.30,643.86,134250.58,118507.20,15415.88,327.50
Phoenix/Tucson,Weekly,"2017-06-04 00:00:00",Conventional,0.760000000,1228049.22,575382.16,178626.45,14892.86,459147.75,251109.66,207645.03,393.06
Pittsburgh,Weekly,"2017-06-04 00:00:00",Conventional,1.330000000,123557.37,51219.47,27379.67,1919.80,43038.43,34198.85,8279.86,559.72
Plains,Weekly,"2017-06-04 00:00:00",Conventional,1.310000000,2136102.71,958508.87,499135.71,11013.14,667444.99,620312.74,35312.21,11820.04
Portland,Weekly,"2017-06-04 00:00:00",Conventional,1.120000000,698957.23,120671.14,128831.45,23470.48,425984.16,423593.25,2161.68,229.23
Raleigh/Greensboro,Weekly,"2017-06-04 00:00:00",Conventional,1.430000000,303913.24,85319.88,110335.08,7020.17,101238.11,95259.58,2878.53,3100.00
Richmond/Norfolk,Weekly,"2017-06-04 00:00:00",Conventional,1.380000000,261051.50,68705.59,108536.25,2472.06,81337.60,77842.84,1729.76,1765.00
Roanoke,Weekly,"2017-06-04 00:00:00",Conventional,1.230000000,151097.89,35865.04,51698.26,76.74,63457.85,58885.96,4011.89,560.00
Sacramento,Weekly,"2017-06-04 00:00:00",Conventional,1.610000000,428553.32,160860.42,210208.11,2618.83,54865.96,51366.15,316.75,3183.06
"San Diego",Weekly,"2017-06-04 00:00:00",Conventional,1.130000000,559985.06,184953.76,132976.72,20220.15,221834.43,219392.34,163.34,2278.75
"San Francisco",Weekly,"2017-06-04 00:00:00",Conventional,1.830000000,650426.37,200052.18,350369.35,6248.07,93756.77,89727.13,1108.81,2920.83
Seattle,Weekly,"2017-06-04 00:00:00",Conventional,1.210000000,681109.55,110722.71,172954.89,454.68,396977.27,396509.11,168.72,299.44
"South Carolina",Weekly,"2017-06-04 00:00:00",Conventional,1.330000000,423186.06,213834.25,76898.32,2442.91,130010.58,86890.34,38375.24,4745.00
"South Central",Weekly,"2017-06-04 00:00:00",Conventional,0.930000000,6585882.05,3465782.20,1015653.58,20437.22,2084009.05,1636585.91,413725.96,33697.18
Southeast,Weekly,"2017-06-04 00:00:00",Conventional,1.340000000,4237221.91,2520206.31,473205.61,4226.60,1239583.39,719958.99,474483.44,45140.96
Spokane,Weekly,"2017-06-04 00:00:00",Conventional,1.160000000,97756.24,18046.30,29061.02,52.82,50596.10,50585.78,0.00,10.32
"St. Louis",Weekly,"2017-06-04 00:00:00",Conventional,1.280000000,211538.70,80655.86,13450.19,895.48,116537.17,90030.72,21035.30,5471.15
Syracuse,Weekly,"2017-06-04 00:00:00",Conventional,1.650000000,64255.79,976.08,42117.66,21.91,21140.14,17366.80,2528.34,1245.00
Tampa,Weekly,"2017-06-04 00:00:00",Conventional,1.430000000,418788.68,262533.92,53444.67,15.00,102795.09,49481.16,51963.93,1350.00
West,Weekly,"2017-06-04 00:00:00",Conventional,1.070000000,6927745.15,2425106.14,1176272.52,157620.26,3168746.23,2078712.99,1085987.41,4045.83
"West Tex/New Mexico",Weekly,"2017-06-04 00:00:00",Conventional,0.830000000,1104682.52,660903.10,87083.97,10771.66,345923.79,146358.81,199564.98,0.00
"Total U.S.",Weekly,"2017-06-11 00:00:00",Conventional,1.210000000,37039853.80,13490545.50,10090861.46,648410.90,12810035.94,9373421.78,3128713.20,307900.96
Albany,Weekly,"2017-06-11 00:00:00",Conventional,1.650000000,91949.26,1989.84,76736.87,364.68,12857.87,2704.43,8235.11,1918.33
Atlanta,Weekly,"2017-06-11 00:00:00",Conventional,1.130000000,572838.59,318335.08,51385.66,101.41,203016.44,117300.66,78150.78,7565.00
Baltimore/Washington,Weekly,"2017-06-11 00:00:00",Conventional,1.650000000,744158.66,65666.00,475095.67,7177.12,196219.87,184500.54,4298.50,7420.83
Boise,Weekly,"2017-06-11 00:00:00",Conventional,1.210000000,92547.42,40250.67,2998.49,8103.35,41194.91,41167.77,19.07,8.07
Boston,Weekly,"2017-06-11 00:00:00",Conventional,1.720000000,583709.06,5556.48,457512.97,3039.46,117600.15,109052.09,5650.84,2897.22
Buffalo/Rochester,Weekly,"2017-06-11 00:00:00",Conventional,1.620000000,114081.68,1737.40,75551.59,78.57,36714.12,30261.23,1937.89,4515.00
California,Weekly,"2017-06-11 00:00:00",Conventional,1.220000000,6177216.24,2302944.62,1517908.04,188258.15,2168105.43,2095827.24,5598.97,66679.22
Charlotte,Weekly,"2017-06-11 00:00:00",Conventional,1.380000000,224288.57,50865.51,86113.51,6816.90,80492.65,69740.45,5812.20,4940.00
Chicago,Weekly,"2017-06-11 00:00:00",Conventional,1.600000000,807370.03,87526.68,514710.25,122729.21,82403.89,76117.78,1456.00,4830.11
Cincinnati/Dayton,Weekly,"2017-06-11 00:00:00",Conventional,0.870000000,365008.71,7487.38,85499.13,1348.66,270673.54,24201.61,245215.92,1256.01
Columbus,Weekly,"2017-06-11 00:00:00",Conventional,0.980000000,181254.11,82013.93,22618.84,1338.07,75283.27,71041.43,3179.14,1062.70
"Dallas/Ft. Worth",Weekly,"2017-06-11 00:00:00",Conventional,0.900000000,1361774.87,734135.94,231555.96,2332.57,393750.40,390320.25,3337.58,92.57
Denver,Weekly,"2017-06-11 00:00:00",Conventional,1.180000000,872407.69,192091.93,212252.78,21884.68,446178.30,115180.80,330977.33,20.17
Detroit,Weekly,"2017-06-11 00:00:00",Conventional,1.280000000,315240.72,71644.61,61426.82,17894.09,164275.20,159993.56,2790.35,1491.29
"Grand Rapids",Weekly,"2017-06-11 00:00:00",Conventional,1.790000000,158876.02,2308.29,64251.02,34921.76,57394.95,40421.03,6310.56,10663.36
"Great Lakes",Weekly,"2017-06-11 00:00:00",Conventional,1.270000000,3714237.95,596035.19,1338515.62,248948.07,1530739.07,867501.26,619111.80,44126.01
Harrisburg/Scranton,Weekly,"2017-06-11 00:00:00",Conventional,1.500000000,232728.73,50902.99,115824.28,93.56,65907.90,58868.88,4122.08,2916.94
Hartford/Springfield,Weekly,"2017-06-11 00:00:00",Conventional,1.750000000,296173.79,11601.99,218427.65,135.11,66009.04,62894.62,6.09,3108.33
Houston,Weekly,"2017-06-11 00:00:00",Conventional,0.890000000,1240308.02,627610.50,201534.03,5451.76,405711.73,200221.42,205490.31,0.00
Indianapolis,Weekly,"2017-06-11 00:00:00",Conventional,0.980000000,224873.96,11584.14,72043.56,1097.13,140149.13,46235.82,93478.49,434.82
Jacksonville,Weekly,"2017-06-11 00:00:00",Conventional,1.430000000,193088.40,119698.07,15932.56,121.45,57336.32,29031.67,25729.09,2575.56
"Las Vegas",Weekly,"2017-06-11 00:00:00",Conventional,0.990000000,374211.54,158132.02,51454.31,6562.63,158062.58,60840.35,97009.73,212.50
"Los Angeles",Weekly,"2017-06-11 00:00:00",Conventional,0.990000000,3390850.94,1280363.31,415143.16,96489.25,1598855.22,1550403.66,468.39,47983.17
Louisville,Weekly,"2017-06-11 00:00:00",Conventional,1.040000000,112253.93,2251.92,46391.41,159.38,63451.22,17357.08,45674.42,419.72
"Miami/Ft. Lauderdale",Weekly,"2017-06-11 00:00:00",Conventional,1.480000000,696603.38,447672.96,88004.23,340.96,160585.23,73486.27,79488.96,7610.00
Midsouth,Weekly,"2017-06-11 00:00:00",Conventional,1.340000000,3150788.24,640517.27,1365909.57,31604.96,1112756.44,900866.53,167944.28,43945.63
Nashville,Weekly,"2017-06-11 00:00:00",Conventional,1.130000000,218540.28,107489.08,23109.92,141.95,87799.33,74772.49,10764.96,2261.88
"New Orleans/Mobile",Weekly,"2017-06-11 00:00:00",Conventional,1.320000000,312695.00,187011.15,31940.35,188.00,93555.50,76637.93,8992.57,7925.00
"New York",Weekly,"2017-06-11 00:00:00",Conventional,1.740000000,1374185.78,54293.79,753430.43,3000.90,563460.66,322838.07,233754.81,6867.78
Northeast,Weekly,"2017-06-11 00:00:00",Conventional,1.680000000,4060850.93,246826.64,2632016.93,13643.55,1168363.81,778716.02,350202.79,39445.00
"Northern New England",Weekly,"2017-06-11 00:00:00",Conventional,1.620000000,406486.08,9491.92,326672.50,2468.80,67852.86,26940.61,37008.92,3903.33
Orlando,Weekly,"2017-06-11 00:00:00",Conventional,1.410000000,401365.48,246114.25,41215.61,61.99,113973.63,61632.80,46130.83,6210.00
Philadelphia,Weekly,"2017-06-11 00:00:00",Conventional,1.730000000,379927.26,38042.56,205769.80,620.68,135494.22,101707.26,31846.40,1940.56
Phoenix/Tucson,Weekly,"2017-06-11 00:00:00",Conventional,0.680000000,1417604.32,786718.62,187402.03,14150.63,429333.04,235639.45,193693.59,0.00
Pittsburgh,Weekly,"2017-06-11 00:00:00",Conventional,1.330000000,117367.43,51973.42,29897.94,1738.43,33757.64,24054.78,7650.36,2052.50
Plains,Weekly,"2017-06-11 00:00:00",Conventional,1.310000000,2120488.01,948624.24,478847.61,7878.02,685138.14,642268.81,27923.27,14946.06
Portland,Weekly,"2017-06-11 00:00:00",Conventional,1.000000000,718937.65,128990.56,168571.50,18215.43,403160.16,401672.14,1316.91,171.11
Raleigh/Greensboro,Weekly,"2017-06-11 00:00:00",Conventional,1.300000000,302596.77,77343.65,110902.92,7279.01,107071.19,101531.91,1864.28,3675.00
Richmond/Norfolk,Weekly,"2017-06-11 00:00:00",Conventional,1.310000000,248634.50,63325.16,101559.72,2489.11,81260.51,74457.92,57.59,6745.00
Roanoke,Weekly,"2017-06-11 00:00:00",Conventional,1.160000000,155040.89,31085.30,50163.30,93.77,73698.52,70183.05,610.47,2905.00
Sacramento,Weekly,"2017-06-11 00:00:00",Conventional,1.550000000,440572.26,164987.61,210729.68,9745.09,55109.88,50595.08,601.47,3913.33
"San Diego",Weekly,"2017-06-11 00:00:00",Conventional,1.170000000,522813.20,177782.46,134393.24,19857.93,190779.57,187655.10,160.56,2963.91
"San Francisco",Weekly,"2017-06-11 00:00:00",Conventional,1.800000000,608604.75,181965.02,318250.06,14342.68,94046.99,91219.19,1136.13,1691.67
Seattle,Weekly,"2017-06-11 00:00:00",Conventional,1.210000000,664560.99,105557.41,169870.98,835.35,388297.25,387996.76,91.45,209.04
"South Carolina",Weekly,"2017-06-11 00:00:00",Conventional,1.300000000,404634.09,189016.02,79763.10,2567.22,133287.75,87105.14,34472.61,11710.00
"South Central",Weekly,"2017-06-11 00:00:00",Conventional,0.930000000,6526488.94,3540683.70,1042887.71,21574.20,1921343.33,1496503.74,401617.34,23222.25
Southeast,Weekly,"2017-06-11 00:00:00",Conventional,1.330000000,4151016.69,2451659.18,483092.03,4402.35,1211863.13,691324.55,449983.89,70554.69
Spokane,Weekly,"2017-06-11 00:00:00",Conventional,1.160000000,94583.08,16949.70,27300.24,62.41,50270.73,50207.99,13.63,49.11
"St. Louis",Weekly,"2017-06-11 00:00:00",Conventional,1.320000000,197442.71,76191.65,15824.35,224.01,105202.70,84981.22,16665.05,3556.43
Syracuse,Weekly,"2017-06-11 00:00:00",Conventional,1.660000000,58542.16,1072.14,42974.80,113.40,14381.82,9561.81,2500.01,2320.00
Tampa,Weekly,"2017-06-11 00:00:00",Conventional,1.420000000,410602.09,258974.89,51596.53,84.47,99946.20,44926.80,49924.40,5095.00
West,Weekly,"2017-06-11 00:00:00",Conventional,1.020000000,7138766.83,2763254.66,1231683.94,132101.60,3011726.63,1900413.66,1106330.85,4982.12
"West Tex/New Mexico",Weekly,"2017-06-11 00:00:00",Conventional,0.830000000,1090267.81,638208.69,88563.14,10519.07,352976.91,165191.61,187785.30,0.00
"Total U.S.",Weekly,"2017-06-18 00:00:00",Conventional,1.180000000,38247669.33,12975373.48,11199448.60,807107.21,13265740.04,9650858.66,3267491.24,347390.14
Albany,Weekly,"2017-06-18 00:00:00",Conventional,1.580000000,97079.34,2454.01,82154.43,723.07,11747.83,3875.12,6697.71,1175.00
Atlanta,Weekly,"2017-06-18 00:00:00",Conventional,1.200000000,492836.43,269328.71,49177.93,145.33,174184.46,94081.93,69712.53,10390.00
Baltimore/Washington,Weekly,"2017-06-18 00:00:00",Conventional,1.670000000,713471.14,62875.95,462835.50,6444.29,181315.40,169245.63,2474.77,9595.00
Boise,Weekly,"2017-06-18 00:00:00",Conventional,1.210000000,92906.33,40471.78,3263.11,8414.51,40756.93,40688.09,26.66,42.18
Boston,Weekly,"2017-06-18 00:00:00",Conventional,1.660000000,581303.33,5379.22,452146.49,3286.69,120490.93,112280.36,5416.40,2794.17
Buffalo/Rochester,Weekly,"2017-06-18 00:00:00",Conventional,1.500000000,129734.97,2124.28,82873.30,101.12,44636.27,40583.35,700.42,3352.50
California,Weekly,"2017-06-18 00:00:00",Conventional,1.200000000,6599048.85,2691571.96,1650089.15,191313.38,2066074.36,1989158.83,5912.72,71002.81
Charlotte,Weekly,"2017-06-18 00:00:00",Conventional,1.430000000,201837.88,45497.30,78803.31,6332.43,71204.84,62169.32,3515.52,5520.00
Chicago,Weekly,"2017-06-18 00:00:00",Conventional,1.530000000,862382.95,68578.06,549159.54,138493.75,106151.60,103151.37,528.32,2471.91
Cincinnati/Dayton,Weekly,"2017-06-18 00:00:00",Conventional,1.090000000,281486.15,4452.82,110401.61,2143.52,164488.20,33465.46,130291.88,730.86
Columbus,Weekly,"2017-06-18 00:00:00",Conventional,0.810000000,304247.54,115493.41,35647.10,2235.93,150871.10,135610.65,14771.88,488.57
"Dallas/Ft. Worth",Weekly,"2017-06-18 00:00:00",Conventional,0.900000000,1441940.59,734956.89,307811.08,4290.60,394882.02,391342.54,3444.02,95.46
Denver,Weekly,"2017-06-18 00:00:00",Conventional,1.140000000,890723.20,185315.80,198308.54,19386.07,487712.79,129619.04,358058.41,35.34
Detroit,Weekly,"2017-06-18 00:00:00",Conventional,0.850000000,668936.01,127581.26,129555.86,35982.95,375815.94,349596.64,22971.06,3248.24
"Grand Rapids",Weekly,"2017-06-18 00:00:00",Conventional,1.290000000,245293.35,2180.87,96015.63,81813.26,65283.59,38840.79,2445.56,23997.24
"Great Lakes",Weekly,"2017-06-18 00:00:00",Conventional,1.120000000,4668135.31,707122.82,1685604.76,403401.16,1872006.57,1345931.00,448086.41,77989.16
Harrisburg/Scranton,Weekly,"2017-06-18 00:00:00",Conventional,1.500000000,238389.11,45186.48,131057.91,86.44,62058.28,55129.91,2569.76,4358.61
Hartford/Springfield,Weekly,"2017-06-18 00:00:00",Conventional,1.790000000,256900.68,5734.57,195637.72,124.60,55403.79,52477.50,86.29,2840.00
Houston,Weekly,"2017-06-18 00:00:00",Conventional,0.770000000,1755331.30,583952.66,412002.26,7010.41,752365.97,201968.43,550383.65,13.89
Indianapolis,Weekly,"2017-06-18 00:00:00",Conventional,1.030000000,223221.90,11623.93,96522.44,1944.09,113131.44,53306.73,58995.18,829.53
Jacksonville,Weekly,"2017-06-18 00:00:00",Conventional,1.450000000,151012.55,94578.34,12992.82,90.39,43351.00,23346.19,16704.81,3300.00
"Las Vegas",Weekly,"2017-06-18 00:00:00",Conventional,1.010000000,357696.04,133507.85,55577.57,6723.34,161887.28,55967.51,105919.77,0.00
"Los Angeles",Weekly,"2017-06-18 00:00:00",Conventional,0.990000000,3631321.55,1581223.40,480083.42,93204.86,1476809.87,1424124.05,963.71,51722.11
Louisville,Weekly,"2017-06-18 00:00:00",Conventional,1.060000000,104369.68,2581.61,49620.17,541.77,51626.13,21822.14,29725.70,78.29
"Miami/Ft. Lauderdale",Weekly,"2017-06-18 00:00:00",Conventional,1.520000000,505828.46,311873.22,66760.95,105.13,127089.16,51803.99,62943.50,12341.67
Midsouth,Weekly,"2017-06-18 00:00:00",Conventional,1.340000000,3032871.22,600416.38,1348477.92,28997.27,1054979.65,909822.80,107064.11,38092.74
Nashville,Weekly,"2017-06-18 00:00:00",Conventional,1.000000000,260893.43,108420.61,33689.09,143.44,118640.29,105965.40,10905.92,1768.97
"New Orleans/Mobile",Weekly,"2017-06-18 00:00:00",Conventional,1.290000000,287734.91,177973.04,25893.61,157.00,83711.26,76256.40,4569.86,2885.00
"New York",Weekly,"2017-06-18 00:00:00",Conventional,1.820000000,1242160.85,55732.76,765117.64,3600.65,417709.80,290382.60,113734.72,13592.48
Northeast,Weekly,"2017-06-18 00:00:00",Conventional,1.680000000,3945270.40,237156.76,2668419.58,20366.86,1019327.20,765706.00,209441.36,44179.84
"Northern New England",Weekly,"2017-06-18 00:00:00",Conventional,1.520000000,420089.07,9653.18,327624.68,7455.86,75355.35,31581.28,40114.07,3660.00
Orlando,Weekly,"2017-06-18 00:00:00",Conventional,1.400000000,339228.04,215668.41,32674.49,115.97,90769.17,49398.47,34065.70,7305.00
Philadelphia,Weekly,"2017-06-18 00:00:00",Conventional,1.750000000,380239.79,41177.89,219693.60,586.19,118782.11,95067.36,20864.75,2850.00
Phoenix/Tucson,Weekly,"2017-06-18 00:00:00",Conventional,0.700000000,1326697.78,592933.20,295319.97,12531.08,425913.53,235981.26,189932.27,0.00
Pittsburgh,Weekly,"2017-06-18 00:00:00",Conventional,1.290000000,119743.90,47857.66,32486.05,1543.23,37856.96,27652.92,8201.54,2002.50
Plains,Weekly,"2017-06-18 00:00:00",Conventional,1.350000000,1993421.09,812644.07,464271.97,7538.35,708966.70,653169.34,34954.01,20843.35
Portland,Weekly,"2017-06-18 00:00:00",Conventional,0.970000000,755535.79,151651.79,165833.34,15531.89,422518.77,422053.82,312.53,152.42
Raleigh/Greensboro,Weekly,"2017-06-18 00:00:00",Conventional,1.340000000,263858.47,63136.38,95583.32,6670.12,98468.65,93661.14,1772.51,3035.00
Richmond/Norfolk,Weekly,"2017-06-18 00:00:00",Conventional,1.280000000,245564.59,63304.98,98223.11,1955.72,82080.78,75119.47,1746.59,5214.72
Roanoke,Weekly,"2017-06-18 00:00:00",Conventional,1.160000000,152802.24,30545.71,47417.92,97.56,74741.05,69630.36,2860.69,2250.00
Sacramento,Weekly,"2017-06-18 00:00:00",Conventional,1.590000000,448930.73,164647.72,215644.64,10699.93,57938.44,53795.49,757.39,3385.56
"San Diego",Weekly,"2017-06-18 00:00:00",Conventional,1.100000000,591731.93,214632.83,163049.23,19625.98,194423.89,189387.00,386.74,4650.15
"San Francisco",Weekly,"2017-06-18 00:00:00",Conventional,1.770000000,660386.27,202024.11,336284.13,16709.19,105368.84,100785.35,1133.49,3450.00
Seattle,Weekly,"2017-06-18 00:00:00",Conventional,1.160000000,696101.26,128838.87,170657.09,521.70,396083.60,395578.69,92.84,412.07
"South Carolina",Weekly,"2017-06-18 00:00:00",Conventional,1.300000000,356093.51,159850.81,74051.60,2187.84,120003.26,81818.12,23600.14,14585.00
"South Central",Weekly,"2017-06-18 00:00:00",Conventional,0.890000000,7417264.07,3419006.86,1543629.57,28126.85,2426500.79,1501763.36,923549.91,1187.52
Southeast,Weekly,"2017-06-18 00:00:00",Conventional,1.350000000,3404457.77,1995540.97,416295.25,3535.91,989085.64,546899.52,350819.45,91366.67
Spokane,Weekly,"2017-06-18 00:00:00",Conventional,1.110000000,103313.47,21695.01,28464.58,84.08,53069.80,53053.14,8.89,7.77
"St. Louis",Weekly,"2017-06-18 00:00:00",Conventional,1.300000000,201993.63,76343.74,14887.64,140.98,110621.27,87817.63,20679.07,2124.57
Syracuse,Weekly,"2017-06-18 00:00:00",Conventional,1.540000000,61468.49,1407.87,43878.97,350.22,15831.43,13074.87,1366.56,1390.00
Tampa,Weekly,"2017-06-18 00:00:00",Conventional,1.430000000,336746.96,225053.54,42017.04,62.47,69613.91,24077.65,38791.26,6745.00
West,Weekly,"2017-06-18 00:00:00",Conventional,1.020000000,7187200.64,2511913.67,1422660.40,123827.42,3128799.15,1938407.82,1187663.27,2728.06
"West Tex/New Mexico",Weekly,"2017-06-18 00:00:00",Conventional,0.870000000,1046946.87,578248.12,88224.45,10539.38,369934.92,164735.40,205157.85,41.67
"Total U.S.",Weekly,"2017-06-25 00:00:00",Conventional,1.170000000,37305307.68,12901031.63,10805961.74,655965.98,12942348.33,9462413.18,3202253.91,277681.24
Albany,Weekly,"2017-06-25 00:00:00",Conventional,1.530000000,89303.04,2224.67,74282.58,129.85,12665.94,4686.34,6874.60,1105.00
Atlanta,Weekly,"2017-06-25 00:00:00",Conventional,1.120000000,501274.14,249204.48,46343.42,149.89,205576.35,102982.83,95431.48,7162.04
Baltimore/Washington,Weekly,"2017-06-25 00:00:00",Conventional,1.650000000,693972.27,57367.81,446948.93,6496.32,183159.21,167326.54,7351.56,8481.11
Boise,Weekly,"2017-06-25 00:00:00",Conventional,1.200000000,95071.28,41340.98,3573.62,7667.69,42488.99,42360.01,52.46,76.52
Boston,Weekly,"2017-06-25 00:00:00",Conventional,1.680000000,545889.03,5987.76,434222.79,3399.30,102279.18,94362.33,5241.02,2675.83
Buffalo/Rochester,Weekly,"2017-06-25 00:00:00",Conventional,1.460000000,115902.44,1954.58,77254.88,59.58,36633.40,32337.84,945.56,3350.00
California,Weekly,"2017-06-25 00:00:00",Conventional,1.150000000,6999255.87,2706875.38,1977949.64,191069.11,2123361.74,2061235.10,5202.82,56923.82
Charlotte,Weekly,"2017-06-25 00:00:00",Conventional,1.330000000,211639.60,53140.24,72807.06,5877.63,79814.67,72142.41,4877.26,2795.00
Chicago,Weekly,"2017-06-25 00:00:00",Conventional,1.440000000,868770.67,132426.14,473567.46,139914.23,122862.84,119020.04,764.05,3078.75
Cincinnati/Dayton,Weekly,"2017-06-25 00:00:00",Conventional,0.800000000,337211.80,4289.76,100910.25,1020.95,230990.84,28717.58,201500.92,772.34
Columbus,Weekly,"2017-06-25 00:00:00",Conventional,0.860000000,243935.99,100495.93,26548.19,1160.37,115731.50,98172.10,17016.19,543.21
"Dallas/Ft. Worth",Weekly,"2017-06-25 00:00:00",Conventional,0.890000000,1327166.18,688781.77,221432.21,2113.52,414838.68,410536.20,4154.43,148.05
Denver,Weekly,"2017-06-25 00:00:00",Conventional,1.170000000,841763.42,165523.87,173432.50,20677.83,482129.22,130071.21,352058.01,0.00
Detroit,Weekly,"2017-06-25 00:00:00",Conventional,1.010000000,402914.93,96114.24,58116.71,14203.42,234480.56,200994.73,31937.51,1548.32
"Grand Rapids",Weekly,"2017-06-25 00:00:00",Conventional,1.740000000,142258.18,2010.17,54017.53,29866.67,56363.81,42161.64,4631.35,9570.82
"Great Lakes",Weekly,"2017-06-25 00:00:00",Conventional,1.150000000,3938985.06,718886.46,1270259.61,253074.81,1696764.18,1090179.55,563107.77,43476.86
Harrisburg/Scranton,Weekly,"2017-06-25 00:00:00",Conventional,1.460000000,222447.25,40132.56,121032.80,92.67,61189.22,52906.18,2108.04,6175.00
Hartford/Springfield,Weekly,"2017-06-25 00:00:00",Conventional,1.680000000,275912.97,8658.16,220849.19,134.57,46271.05,42685.55,670.50,2915.00
Houston,Weekly,"2017-06-25 00:00:00",Conventional,0.820000000,1352318.90,569850.04,285476.88,2928.68,494063.30,188282.06,305777.91,3.33
Indianapolis,Weekly,"2017-06-25 00:00:00",Conventional,1.040000000,197095.32,7378.96,72671.18,1002.29,116042.89,49444.51,64817.87,1780.51
